application_number,family_name,first_name,middle_name,sex,strand,course,general_ability,verbal_aptitude,numerical_aptitude,spatial_aptitude,perceptual_aptitude,manual_dexterity,date_taken
APP-1013,Jackson,Linda,Ray,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Johnson,Sarah,Mae,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Martinez,Jessica,Ann,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Jackson,James,Ivy,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Anderson,Jessica,Rose,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Jones,Charles,Jay,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Anderson,James,Faith,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Martinez,John,Ray,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Moore,Patricia,Faith,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Gonzalez,John,Ivy,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Rodriguez,Sarah,Ivy,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Wilson,John,Rose,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Thomas,Elizabeth,Claire,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Thomas,John,Rose,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Martin,James,Kate,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Martin,Michael,Kate,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Hernandez,Karen,Faith,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Moore,John,Grace,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Davis,Patricia,Grace,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Miller,John,Louise,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Lopez,Karen,Paul,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Smith,David,Ivy,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Anderson,Mary,Alan,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Jackson,Linda,Ivy,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Hernandez,Barbara,Mae,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Rodriguez,Charles,Lee,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Smith,John,Faith,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Jones,William,Ann,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Garcia,Mary,Lee,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Anderson,Linda,Scott,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Anderson,Jennifer,Scott,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Anderson,David,Mae,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Anderson,Mary,Dean,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Davis,Karen,Alan,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Brown,Susan,Alan,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Wilson,Michael,Scott,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Taylor,Karen,Claire,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Rodriguez,James,Marie,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Brown,Joseph,Kate,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Miller,Charles,Louise,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Anderson,William,Marie,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Smith,Robert,Marie,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Gonzalez,Joseph,Scott,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Rodriguez,Jennifer,Jean,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Martinez,Susan,Lee,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Jones,David,James,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Gonzalez,Jessica,Scott,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Brown,Susan,Grace,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Johnson,Elizabeth,Dean,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Williams,Jennifer,Ivy,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Jackson,Barbara,Claire,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Martin,Linda,Jay,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Miller,Barbara,Lee,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Johnson,Mary,Louise,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Moore,Thomas,Mae,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Wilson,Jessica,James,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Jones,James,Rose,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Jackson,Linda,Ann,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Thomas,John,Mae,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Williams,Elizabeth,Claire,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Martin,Elizabeth,Ivy,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Jones,Susan,Kate,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Hernandez,Karen,Ray,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Brown,Joseph,Lee,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Jones,Sarah,Marie,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Martin,Joseph,Faith,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Wilson,Elizabeth,Kate,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Williams,Karen,Faith,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Hernandez,Mary,Scott,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Williams,Charles,Paul,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Gonzalez,Thomas,Faith,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Brown,Thomas,Rose,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Moore,Joseph,Jay,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Jackson,Barbara,Paul,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Brown,Richard,Paul,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Gonzalez,Linda,Rose,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Smith,John,Faith,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Taylor,Charles,Jay,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Johnson,Susan,Jean,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Anderson,Charles,Ann,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Rodriguez,Richard,Dean,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Thomas,David,Jean,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Smith,Mary,Rose,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Lopez,Thomas,James,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Anderson,Mary,Grace,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Miller,Michael,Ray,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Williams,Jennifer,Paul,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Hernandez,Jennifer,Faith,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Jones,Thomas,Jay,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Hernandez,Susan,Jean,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Brown,Linda,Marie,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Brown,Jennifer,Louise,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Brown,Michael,Claire,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Hernandez,John,Grace,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Jones,Robert,Kate,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Williams,David,Ivy,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Taylor,David,Louise,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Moore,Patricia,Marie,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Lopez,Jessica,Scott,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Rodriguez,William,Marie,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Johnson,Charles,Claire,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Johnson,Michael,Rose,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Rodriguez,Susan,Mae,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Lopez,Joseph,Claire,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Johnson,Susan,Hope,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Gonzalez,Karen,Paul,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Johnson,Robert,James,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Martinez,Jessica,Mae,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Jones,Elizabeth,Dean,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Garcia,Jennifer,Mae,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Anderson,James,James,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Brown,William,Grace,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Martinez,Barbara,Mae,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Moore,Robert,Scott,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Johnson,William,Dean,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Davis,Sarah,Ann,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Gonzalez,Jennifer,Jean,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Anderson,John,Kate,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Gonzalez,Charles,Lee,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Moore,Joseph,Hope,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Gonzalez,Sarah,Faith,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Lopez,Thomas,Marie,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Garcia,Joseph,Lee,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Martin,William,Faith,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Lopez,Joseph,Jay,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Jones,Elizabeth,Paul,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Martinez,Elizabeth,Ray,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Miller,Patricia,Louise,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Miller,Patricia,Jay,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Brown,Sarah,Jean,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Smith,Richard,Rose,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Martinez,Patricia,Kate,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Thomas,Charles,Lee,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Smith,Michael,Paul,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Hernandez,Susan,Paul,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Anderson,Charles,Ray,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Gonzalez,Linda,Scott,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Garcia,Joseph,Marie,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Martinez,Jessica,Ray,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Smith,Linda,Ray,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Hernandez,Richard,Dean,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Rodriguez,John,James,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Anderson,Mary,Lee,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Davis,Jennifer,Mae,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Smith,Mary,Scott,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Thomas,Joseph,Mae,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Miller,Sarah,Mae,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Williams,Sarah,Ann,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Rodriguez,Charles,Dean,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Taylor,Karen,Dean,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Miller,Jennifer,Faith,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Moore,Charles,Marie,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Brown,William,Lee,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Jackson,Linda,Louise,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Lopez,Patricia,Alan,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Miller,Sarah,Marie,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Jones,Linda,Louise,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Hernandez,Sarah,Grace,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Williams,Susan,Paul,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Garcia,Mary,Louise,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Smith,Jessica,Ivy,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Miller,Elizabeth,Ray,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Anderson,Barbara,Faith,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Hernandez,Joseph,Mae,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Johnson,Barbara,Claire,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Anderson,Thomas,Marie,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Martin,Linda,Kate,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Taylor,Sarah,Hope,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Brown,Jessica,Dean,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Miller,David,Faith,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Taylor,Thomas,Jay,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Miller,Linda,Jay,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
APP-1005,Wilson,James,Marie,0,HUMSS,Bachelor of Secondary Education - Filipino,50.0,38.0,46.0,43.0,42.0,35.0,2025-01-01
APP-1006,Johnson,Jessica,Paul,1,TVL,7.0,31.0,44.0,34.0,23.0,20.0,20.0,2025-01-01
APP-1007,Jones,Mary,Scott,0,STEM,Bachelor of Secondary Education - Mathematics,20.0,23.0,34.0,29.0,30.0,25.0,2025-01-01
APP-1008,Smith,John,Kate,1,STEM,7.0,34.0,26.0,38.0,46.0,34.0,27.0,2025-01-01
APP-1009,Garcia,John,Jay,0,ABM,7.0,35.0,27.0,42.0,44.0,39.0,41.0,2025-01-01
APP-1010,Anderson,Elizabeth,Ivy,1,STEM,6.0,48.0,40.0,40.0,21.0,42.0,20.0,2025-01-01
APP-1011,Johnson,Susan,Alan,0,TVL,Bachelor of Secondary Education - English,42.0,24.0,49.0,44.0,23.0,46.0,2025-01-01
APP-1012,Anderson,Linda,Mae,1,STEM,Bachelor of Secondary Education - Science,26.0,47.0,23.0,41.0,26.0,31.0,2025-01-01
APP-1013,Anderson,Charles,Hope,0,STEM,Bachelor of Science in Business Administration - Marketing Management,32.0,20.0,29.0,33.0,38.0,32.0,2025-01-01
APP-1014,Smith,Linda,Paul,1,STEM,7.0,24.0,37.0,35.0,36.0,42.0,41.0,2025-01-01
APP-1015,Gonzalez,Linda,Faith,1,ABM,2.0,47.0,21.0,25.0,41.0,32.0,26.0,2025-01-01
APP-1016,Davis,Linda,Claire,1,GAS,Bachelor of Science in Business Administration - Financial Management,44.0,46.0,41.0,33.0,48.0,36.0,2025-01-01
APP-1017,Smith,Karen,Hope,0,GAS,Bachelor of Secondary Education - Mathematics,27.0,22.0,30.0,39.0,22.0,31.0,2025-01-01
APP-1018,Brown,John,Paul,0,HUMSS,Bachelor of Science in Business Administration - Marketing Management,40.0,29.0,36.0,34.0,32.0,21.0,2025-01-01
APP-1019,Gonzalez,Richard,Faith,1,ABM,Bachelor of Secondary Education - Filipino,45.0,33.0,32.0,30.0,28.0,27.0,2025-01-01
APP-1020,Lopez,Joseph,James,1,STEM,9.0,34.0,35.0,46.0,28.0,25.0,28.0,2025-01-01
APP-1021,Johnson,Sarah,Ray,0,ABM,7.0,26.0,27.0,30.0,41.0,37.0,38.0,2025-01-01
APP-1022,Brown,William,Ann,0,ABM,Bachelor of Science in Public Administration,45.0,42.0,44.0,39.0,24.0,46.0,2025-01-01
APP-1023,Davis,Barbara,Claire,0,ABM,6.0,32.0,25.0,49.0,46.0,22.0,45.0,2025-01-01
APP-1024,Lopez,James,Claire,0,HUMSS,5.0,37.0,47.0,43.0,23.0,40.0,27.0,2025-01-01
APP-1025,Anderson,Karen,Paul,0,ABM,Bachelor of Science in Business Administration - Marketing Management,47.0,36.0,29.0,50.0,22.0,42.0,2025-01-01
APP-1026,Davis,William,Lee,1,STEM,Bachelor of Secondary Education - Science,26.0,44.0,26.0,43.0,48.0,34.0,2025-01-01
APP-1027,Martin,William,James,1,STEM,Bachelor of Secondary Education - Social Studies,47.0,46.0,39.0,50.0,27.0,37.0,2025-01-01
APP-1028,Smith,James,Grace,0,HUMSS,Bachelor of Science in Business Administration - Financial Management,39.0,22.0,48.0,44.0,25.0,24.0,2025-01-01
APP-1029,Brown,Richard,Mae,1,GAS,Bachelor of Secondary Education - Mathematics,47.0,45.0,28.0,22.0,20.0,44.0,2025-01-01
APP-1030,Jones,Sarah,Ann,0,STEM,4.0,27.0,47.0,44.0,48.0,30.0,27.0,2025-01-01
APP-1001,Jones,Michael,Alan,1,STEM,7.0,25.0,39.0,28.0,26.0,23.0,44.0,2025-01-01
APP-1002,Davis,Joseph,Grace,1,ABM,4.0,39.0,43.0,30.0,49.0,38.0,24.0,2025-01-01
APP-1003,Taylor,Robert,Marie,1,TVL,Bachelor of Secondary Education - Science,35.0,33.0,25.0,23.0,26.0,35.0,2025-01-01
APP-1004,Rodriguez,Sarah,Kate,0,GAS,Bachelor of Secondary Education - Filipino,25.0,50.0,38.0,43.0,36.0,26.0,2025-01-01
